user_id,module_id,rating
806,23,2.3
273,18,2.3
332,2,4.0
642,7,5.0
258,1,3.5
75,20,4.1
64,11,5.0
600,16,2.7
819,12,1.9
173,8,3.3
415,16,3.1
312,14,2.1
459,2,2.5
633,28,2.1
770,2,2.5
974,29,1.5
132,23,3.9
173,1,3.1
225,13,2.9
780,28,3.8
166,1,2.3
717,23,4.9
457,26,2.2
718,24,4.0
439,21,1.7
946,13,1.1
504,24,3.4
635,8,3.4
913,15,2.2
388,3,1.2
189,15,2.3
659,4,4.2
470,16,3.8
960,26,4.2
662,16,3.2
108,28,3.7
289,17,2.5
108,16,1.9
311,7,2.8
361,13,3.7
220,12,3.0
407,24,4.8
782,7,3.8
761,10,1.8
384,12,2.9
410,18,4.3
119,24,1.2
718,10,3.5
138,29,2.1
688,23,2.6
862,29,3.0
328,5,1.4
739,15,2.7
63,19,1.3
592,3,3.0
237,9,3.2
758,28,3.6
796,3,2.3
255,6,2.4
260,1,5.0
944,21,3.4
231,25,4.1
429,22,3.3
437,19,3.4
344,28,3.0
503,19,4.1
737,7,2.3
622,7,4.5
410,30,5.0
210,29,4.2
796,27,5.0
755,5,4.3
262,27,1.0
432,16,4.7
763,4,2.5
154,6,1.9
211,23,4.0
787,22,1.9
338,16,3.2
639,18,4.4
314,2,3.3
451,7,4.8
669,21,3.8
598,22,3.6
218,29,3.0
869,7,5.0
11,1,1.8
752,4,4.1
187,17,2.3
518,20,2.2
889,15,1.4
965,14,4.7
716,21,5.0
758,16,1.8
590,14,2.6
847,15,2.6
834,15,1.0
234,5,3.8
147,28,1.9
116,11,5.0
480,4,3.7
755,25,3.6
772,29,2.4
963,24,4.8
627,2,2.8
410,3,2.3
773,19,2.1
315,8,2.8
333,20,4.2
447,7,2.7
266,30,1.8
281,26,2.4
753,15,3.6
843,18,2.6
50,16,3.2
842,10,3.1
905,13,3.0
141,26,2.2
75,28,4.0
499,27,5.0
581,2,3.7
216,14,2.7
570,25,5.0
88,25,3.9
401,3,5.0
614,13,3.4
611,14,4.0
438,1,3.5
511,6,4.5
37,1,4.1
590,10,1.2
300,17,2.8
798,21,1.5
617,8,4.1
223,16,2.6
583,26,2.8
396,12,5.0
204,15,4.2
668,29,3.8
160,4,3.6
439,28,2.3
760,23,3.1
392,23,3.4
229,18,4.2
125,19,3.2
135,7,3.3
128,12,3.5
371,16,2.4
110,29,2.1
899,8,3.3
698,24,3.9
70,21,1.9
473,30,4.3
950,22,3.8
815,25,3.5
663,5,2.3
879,1,3.6
227,5,2.0
790,25,2.7
475,22,2.7
857,18,5.0
404,16,3.7
521,5,3.7
122,22,2.7
839,9,1.0
744,10,2.6
251,19,3.2
665,23,5.0
480,5,2.2
896,20,3.6
203,29,4.3
221,1,3.0
455,2,4.1
963,11,2.9
266,16,3.5
455,15,4.4
983,3,3.1
8,24,4.7
717,29,4.6
540,12,3.1
328,16,2.6
718,17,5.0
361,12,4.0
104,22,2.2
762,16,2.0
314,23,3.5
579,21,2.8
23,5,5.0
452,15,1.9
385,5,2.9
644,29,4.2
485,29,2.3
391,14,2.0
784,16,1.0
312,28,2.4
826,21,4.3
806,24,4.3
207,30,3.9
198,2,3.7
109,13,4.3
218,28,2.2
332,4,3.5
16,12,2.6
947,11,2.8
788,28,1.9
754,14,2.4
622,9,2.9
841,16,2.7
829,3,4.2
904,19,3.7
822,27,2.3
285,4,3.7
647,22,4.1
524,7,5.0
752,20,1.9
461,6,3.0
676,1,5.0
799,13,3.9
238,1,2.3
334,4,3.4
345,15,2.0
114,27,3.8
792,7,1.0
784,18,3.0
651,14,2.4
74,29,2.4
71,8,3.7
669,7,3.3
755,18,3.5
537,11,2.4
428,16,1.9
186,23,2.7
367,21,2.3
691,16,2.7
943,18,2.5
128,11,3.9
603,12,3.8
385,26,3.3
70,18,4.8
329,6,1.8
531,26,4.1
283,17,3.7
